Order_ID,Order_Date,Category,Product,Region,Customer_Segment,Payment_Method,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Year,Month,Month_Name,Quarter
ORD100000,2024-08-17,Sports,Football,North,Consumer,Credit Card,3.0,3691.0,0.18,9079.86,6865.26,2214.6000000000004,2024,8,Aug,Q3
ORD100001,2024-03-22,Home & Kitchen,Coffee Maker,Central,Consumer,COD,3.0,5980.0,0.21,14172.6,11840.4,2332.2000000000007,2024,3,Mar,Q1
ORD100002,2025-01-06,Beauty,Perfume,West,Consumer,Debit Card,1.0,1284.0,0.2,1027.2,667.68,359.5200000000001,2025,1,Jan,Q1
ORD100003,2025-09-13,Beauty,Face Serum,North,Corporate,Net Banking,5.0,1713.0,0.24,6509.4,4453.8,2055.5999999999995,2025,9,Sep,Q3
ORD100004,2025-12-27,Unknown,Running Shoes,South,Consumer,Credit Card,1.0,2355.0,0.2,1884.0,1460.1,423.9000000000001,2025,12,Dec,Q4
ORD100005,2024-02-13,Home & Kitchen,Vacuum Cleaner,South,Consumer,Credit Card,3.0,5098.0,0.29,10858.74,10094.04,764.6999999999989,2024,2,Feb,Q1
ORD100006,2025-11-29,Electronics,Laptop,North,Consumer,Debit Card,3.0,20357.0,0.13,53131.77,46413.96,6717.809999999998,2025,11,Nov,Q4
ORD100007,2025-05-29,Home & Kitchen,Blender,South,Corporate,Debit Card,2.0,3854.0,0.18,6320.56,5087.28,1233.2800000000007,2025,5,May,Q2
ORD100008,2024-03-02,Clothing,Dress,North,Corporate,Debit Card,4.0,1800.5,0.16,7953.12,5491.44,2461.6800000000003,2024,3,Mar,Q1
ORD100009,2024-01-24,Clothing,T-Shirt,East,Small Business,Debit Card,3.0,2091.0,0.15,5332.05,3638.34,1693.71,2024,1,Jan,Q1
ORD100010,2024-03-28,Electronics,Tablet,North,Small Business,UPI,1.0,20609.0,0.12,18135.92,15662.84,2473.079999999998,2024,3,Mar,Q1
